unix,date,symbol,open,high,low,close,Volume BTC,Volume USD
1651708800,2022-05-05 00:00:00,BTC/USD,39685.23,39840.37,35579.40,36533.93,3736.73012912,136517436.96616104
1651622400,2022-05-04 00:00:00,BTC/USD,37735.35,40050.19,37665.46,39685.23,2297.27213438,91167773.02546121
1651536000,2022-05-03 00:00:00,BTC/USD,38506.38,38641.57,37515.83,37729.95,1157.92207652,43688342.050995775
1651449600,2022-05-02 00:00:00,BTC/USD,38484.46,39153.13,38045.79,38521.01,1434.10079893,55243011.21659052
1651363200,2022-05-01 00:00:00,BTC/USD,37638.78,38672.20,37400.00,38488.34,1248.04269032,48035091.39955086
1651276800,2022-04-30 00:00:00,BTC/USD,38599.30,38786.95,37597.36,37639.80,728.27961992,27412299.23786482
1651190400,2022-04-29 00:00:00,BTC/USD,39753.28,39923.61,38174.27,38593.42,1600.89916681,61784173.92234839
1651104000,2022-04-28 00:00:00,BTC/USD,39254.40,40387.00,38880.44,39754.20,1842.00508443,73227438.52744709
1651017600,2022-04-27 00:00:00,BTC/USD,38105.68,39494.73,37885.75,39256.05,1769.00930667,69444317.79310286
1650931200,2022-04-26 00:00:00,BTC/USD,40452.52,40800.00,37701.00,38137.67,2909.72251989,110970037.25513326
1650844800,2022-04-25 00:00:00,BTC/USD,39464.67,40602.85,38202.91,40441.11,2220.04402771,89781044.72946316
1650758400,2022-04-24 00:00:00,BTC/USD,39438.51,39944.65,38987.00,39467.40,663.70417243,26194678.054963782
1650672000,2022-04-23 00:00:00,BTC/USD,39700.55,39983.98,39301.00,39421.59,398.24448783,15699430.91899425
1650585600,2022-04-22 00:00:00,BTC/USD,40497.00,40808.66,39197.64,39726.03,2136.99977120,84894517.02068433
1650499200,2022-04-21 00:00:00,BTC/USD,41378.77,42978.95,39770.00,40470.76,2163.31405365,87550963.86989628
1650412800,2022-04-20 00:00:00,BTC/USD,41476.89,42220.04,40893.21,41375.85,1359.54131303,56252177.43673233
1650326400,2022-04-19 00:00:00,BTC/USD,40814.60,41754.05,40578.58,41505.77,1457.11081239,60478506.24357249
1650240000,2022-04-18 00:00:00,BTC/USD,39660.62,41101.00,38547.12,40814.60,2421.08185584,98815487.51336727
1650153600,2022-04-17 00:00:00,BTC/USD,40379.81,40602.69,39565.68,39691.27,485.00371860,19250413.545956623
1650067200,2022-04-16 00:00:00,BTC/USD,40576.41,40701.00,40014.79,40395.67,365.72624783,14773756.817678895
1649980800,2022-04-15 00:00:00,BTC/USD,39962.60,40869.99,39788.97,40563.18,752.39943803,30519713.836709738
1649894400,2022-04-14 00:00:00,BTC/USD,41159.29,41504.29,39582.53,39961.53,1169.49381805,46734762.294819616
1649808000,2022-04-13 00:00:00,BTC/USD,40099.51,41557.61,39584.86,41147.74,1563.48448746,64333853.18403734
1649721600,2022-04-12 00:00:00,BTC/USD,39545.37,40691.01,39273.65,40097.46,2111.92057359,84682650.72270209
1649635200,2022-04-11 00:00:00,BTC/USD,42159.45,42415.57,39218.15,39524.86,2288.47921183,90451820.4604911
1649548800,2022-04-10 00:00:00,BTC/USD,42774.85,43450.72,41888.88,42133.85,862.61310467,36345211.160200074
1649462400,2022-04-09 00:00:00,BTC/USD,42258.22,42807.63,42131.51,42767.89,525.17354399,22460564.36027448
1649376000,2022-04-08 00:00:00,BTC/USD,43467.82,43986.09,42120.00,42290.11,1453.74466100,61479021.62560271
1649289600,2022-04-07 00:00:00,BTC/USD,43172.83,43896.45,42741.52,43454.53,1381.67737796,60040141.07088416
1649203200,2022-04-06 00:00:00,BTC/USD,45512.95,45548.77,43086.80,43191.59,3073.55689716,132751809.34380688
1649116800,2022-04-05 00:00:00,BTC/USD,46514.43,47201.00,45342.33,45502.73,1127.69043708,51312993.48203323
1649030400,2022-04-04 00:00:00,BTC/USD,46414.88,46891.17,45124.79,46598.20,1496.64154125,69740801.86747575
1648944000,2022-04-03 00:00:00,BTC/USD,45820.28,47458.48,45565.64,46401.57,1063.62873240,49354043.08046987
1648857600,2022-04-02 00:00:00,BTC/USD,46306.38,47218.17,45650.00,45820.28,724.30875007,33188029.734657418
1648771200,2022-04-01 00:00:00,BTC/USD,45522.53,46739.81,44244.00,46307.81,1953.21952857,90449318.81730913
1648684800,2022-03-31 00:00:00,BTC/USD,47086.07,47624.18,45234.00,45517.27,1372.96510736,62493623.492284104
1648598400,2022-03-30 00:00:00,BTC/USD,47459.03,47721.41,46572.15,47068.08,1627.54321756,76605334.36757149
1648512000,2022-03-29 00:00:00,BTC/USD,47152.38,48128.87,46941.84,47459.03,1716.32392308,81455068.55517142
1648425600,2022-03-28 00:00:00,BTC/USD,46854.96,48234.00,46672.25,47152.38,2691.93784761,126931276.32688881
1648339200,2022-03-27 00:00:00,BTC/USD,44553.24,46950.00,44456.90,46864.39,1548.88890527,72587733.72324634
1648252800,2022-03-26 00:00:00,BTC/USD,44340.49,44815.31,44101.00,44535.65,494.72420210,22032863.911254868
1648166400,2022-03-25 00:00:00,BTC/USD,44025.99,45137.12,43616.88,44320.60,1725.07156990,76456207.02090994
1648080000,2022-03-24 00:00:00,BTC/USD,42912.21,44240.00,42636.54,44025.99,2173.30497451,95681903.07472752
1647993600,2022-03-23 00:00:00,BTC/USD,42393.62,43021.73,41779.11,42925.41,1906.72354645,81846889.9880203
1647907200,2022-03-22 00:00:00,BTC/USD,41018.36,43337.41,40901.13,42393.41,2375.42465350,100702351.25993346
1647820800,2022-03-21 00:00:00,BTC/USD,41293.19,41588.70,40516.86,41043.14,1779.49806583,73036188.24558991
1647734400,2022-03-20 00:00:00,BTC/USD,42240.43,42324.06,40930.20,41242.14,1061.35307364,43772472.05249119
1647648000,2022-03-19 00:00:00,BTC/USD,41781.96,42405.01,41553.88,42235.31,976.88885105,41259203.45964057
